file,variant,total,count,win_rate,avg_win,avg_loss,expectancy,profit_factor,max_dd,max_losing_streak,span_start,span_end,dd_profit_ratio,risk_score
conservador_vertical_xsp_data.csv,weekday_mix,40437.0,17833,0.8611562832950148,19.264569902975843,-104.97698314837648,2.267537710985252,1.1583225336616956,24180.0,65,2025-02-05,2026-03-13,0.5979672082498702,1.672332506203474
intermedio_iron_condor_rut_data.csv,weekday_mix,247871.6,17776,0.7206345634563457,185.73000780640123,-429.5303909713825,13.94417191719172,1.116299035466027,206834.60000000152,94,2025-02-05,2026-03-13,0.8344425097510224,1.1984049090432558
intermedio_iron_condor_spx_data.csv,equity_ladder,406335.0,17755,0.7918332863981977,191.48602318799345,-618.9458434876794,22.885666009574766,1.177767462737891,149472.0,106,2025-02-04,2026-03-13,0.3678541105245672,2.718469010918433
intermedio_iron_condor_xsp_data.csv,equity_ladder,94851.0,17712,0.7348125564588979,42.20929696504034,-97.1367813635392,5.3551829268292686,1.2086916918040145,26762.0,116,2025-02-05,2026-03-13,0.28214778969119986,3.544241835438308
intermedio_vertical_rut_data.csv,size_2,119614.0,17842,0.7299630086313194,224.58436732186732,-584.2092461474385,6.70406905055487,1.0426374704994643,308764.0,65,2025-02-05,2026-03-13,2.581336632835621,0.38739619903874806
intermedio_vertical_spx_data.csv,weekday_mix,268632.0,17873,0.7888994572819337,157.88070921985815,-519.6405627820546,15.030045319756058,1.1372331653968406,203017.0,71,2025-02-04,2026-03-13,0.7557439173292831,1.323199535014309
intermedio_vertical_xsp_data.csv,weekday_mix,60994.0,17833,0.7413783435204396,35.62983132894637,-90.68288367978772,3.420288229686536,1.1487411843889306,43414.0,71,2025-02-05,2026-03-13,0.7117749286815097,1.4049384991016722
ultra_agresivo_iron_condor_rut_data.csv,size_2,1609924.0,17835,0.5410148584244463,402.9105814073998,-290.2714668025997,90.2676759181385,1.7068013568768126,91214.6,63,2025-02-05,2026-03-13,0.056657705581133026,17.64984991437774
ultra_agresivo_iron_condor_spx_data.csv,equity_ladder,697066.5,17688,0.5960538218000905,339.87332827468464,-415.52231500143967,39.409006105834465,1.2415155404061649,126604.0,172,2025-02-04,2026-03-13,0.18162399139823818,5.505880540899182
ultra_agresivo_iron_condor_xsp_data.csv,equity_ladder,510270.0,17712,0.5774051490514905,84.9006551285812,-55.51387812063886,28.80928184281843,2.42529936398247,16478.0,144,2025-02-05,2026-03-13,0.032292707782154546,30.966743536836994
ultra_agresivo_vertical_rut_data.csv,size_1,-9638.800000000005,17842,0.4632888689608788,213.46277522380836,-186.63182200715335,-0.5402309158166126,0.9945670030264546,149778.0,92,2025-02-05,2026-03-13,inf,-0.06435391045413882
ultra_agresivo_vertical_spx_data.csv,weekday_mix,363196.0,17873,0.636994349018072,263.0247694334651,-406.9503557067739,20.320931013260225,1.138026960397759,259484.0,123,2025-02-04,2026-03-13,0.7144461943413474,1.399685529743645
ultra_agresivo_vertical_xsp_data.csv,weekday_mix,42060.0,17833,0.4356530028598665,67.86188698674218,-49.40016291619998,2.3585487579207087,1.086693228405533,53651.0,131,2025-02-05,2026-03-13,1.275582501188778,0.7839555646679466
